institute,lpc,ca,bq,ndp,pc,date,cpc,gpc,sample_size,polling_method,other,ppc
EKOS,31.8,NA,5,20,NA,2014-12-12,30.8,7.8,3276,IVR,NA,NA
Forum Research,41,NA,3,17,NA,2014-12-11,33,5,1658,IVR,NA,NA
Leger Marketing,38,NA,4,19,NA,2014-12-11,32,6,1521,online,NA,NA
Ipsos Reid,34,NA,5,24,NA,2014-12-01,33,4,8268,online,NA,NA
Forum Research,36,NA,4,18,NA,2014-11-20,33,8,1500,IVR,NA,NA
EKOS,33.5,NA,3.5,20.5,NA,2014-11-06,30.2,9.7,1561,IVR,NA,NA
Leger Marketing,36,NA,3,19,NA,2014-11-06,33,7,1493,online,NA,NA
Abacus Data,35,NA,4,24,NA,2014-11-04,30,6,1850,online,NA,NA
EKOS,33.4,NA,5.5,21.4,NA,2014-10-29,27.8,8.2,1628,IVR,NA,NA
Abacus Data,32,NA,4,25,NA,2014-10-17,30,8,1248,online,NA,NA
Leger Marketing,37,NA,4,21,NA,2014-10-16,32,5,1524,online,NA,NA
EKOS,38.5,NA,3.1,25,NA,2014-10-15,26.4,5.7,1671,telephone/online,NA,NA
Forum Research,38,NA,4,19,NA,2014-10-05,34,4,1504,IVR,NA,NA
EKOS,38.3,NA,4,24.4,NA,2014-09-25,24.9,7.7,1549,telephone/online,NA,NA
Angus Reid,36,NA,4,22,NA,2014-09-19,30,6,1502,online,NA,NA
Abacus Data,38,NA,3,23,NA,2014-09-14,30,5,1075,online,NA,NA
Ipsos Reid,38,NA,5,23,NA,2014-09-12,31,3,1605,online,NA,NA
Forum Research,40,NA,4,18,NA,2014-09-05,34,3,1267,IVR,NA,NA
Forum Research,41,NA,5,17,NA,2014-08-19,32,5,1798,IVR,NA,NA
Abacus Data,35,NA,5,22,NA,2014-08-18,29,7,1614,online,NA,NA
Ipsos Reid,38,NA,3,24,NA,2014-08-17,31,3,1012,online,NA,NA
EKOS,38.7,NA,3.7,23.4,NA,2014-07-23,25.6,7.1,2620,telephone/online,NA,NA
Forum Research,44,NA,5,18,NA,2014-07-18,28,3,1624,IVR,NA,NA
Abacus Data,34,NA,5,23,NA,2014-07-03,31,6,2000,online,NA,NA
Forum Research,39,NA,4,19,NA,2014-06-17,31,5,1683,IVR,NA,NA
Angus Reid,30,NA,5,27,NA,2014-06-12,31,6,6264,online,NA,NA
Angus Reid,30,NA,5,25,NA,2014-05-23,31,7,1503,online,NA,NA
Forum Research,36,NA,6,23,NA,2014-05-23,30,5,1694,IVR,NA,NA
EKOS,34.9,NA,5.3,21.4,NA,2014-05-01,27.6,8.2,3677,IVR,NA,NA
Forum Research,39,NA,6,20,NA,2014-04-29,30,4,1572,IVR,NA,NA
Ipsos Reid,33,NA,6,24,NA,2014-04-22,33,4,1014,online,NA,NA
Angus Reid,30,NA,5,26,NA,2014-04-15,32,6,1505,online,NA,NA
EKOS,35.8,NA,4.8,21.8,NA,2014-04-03,26.7,8.1,4134,IVR,NA,NA
Forum Research,39,NA,5,22,NA,2014-03-28,29,3,1764,IVR,NA,NA
Angus Reid,33,NA,5,27,NA,2014-03-09,28,6,6445,online,NA,NA
Abacus Data,34,NA,8,23,NA,2014-03-05,28,6,1249,online,NA,NA
Forum Research,39,NA,6,21,NA,2014-02-19,29,4,1824,IVR,NA,NA
Ipsos Reid,37,NA,5,24,NA,2014-02-18,29,5,1034,online,NA,NA
Angus Reid,33,NA,5,26,NA,2014-02-16,28,6,1514,online,NA,NA
Nanos Research,34,NA,6.4,23.2,NA,2014-02-15,28.7,5.3,1000,telephone,NA,NA
Ipsos Reid,33,NA,7,27,NA,2014-02-04,29,4,1001,online,NA,NA
EKOS,33.2,NA,4.5,24.3,NA,2014-01-27,29.7,6.2,1501,telephone/online,NA,NA
Forum Research,38,NA,5,24,NA,2014-01-25,28,4,1228,IVR,NA,NA
Abacus Data,34,NA,5,24,NA,2014-01-18,28,7,1996,online,NA,NA
Forum Research,37,NA,5,25,NA,2014-01-17,28,4,1779,IVR,NA,NA
EKOS,32.1,NA,6.3,22.9,NA,2013-12-15,26.2,9.3,3468,IVR,NA,NA
Forum Research,38,NA,5,21,NA,2013-12-13,32,3,1634,IVR,NA,NA
Ipsos Reid,35,NA,6,26,NA,2013-11-27,29,3,1014,online,NA,NA
Harris-Decima,36,NA,7,23,NA,2013-11-25,26,7,2034,telephone,NA,NA
Forum Research,38,NA,6,22,NA,2013-11-13,29,4,1834,IVR,NA,NA
EKOS,37.4,NA,5.2,24.9,NA,2013-10-29,26.4,5.2,1377,telephone/online,NA,NA
Ipsos Reid,31,NA,6,31,NA,2013-10-28,30,2,1102,online,NA,NA
Forum Research,40,NA,6,20,NA,2013-10-23,28,5,1007,IVR,NA,NA
Forum Research,39,NA,7,19,NA,2013-10-22,30,5,1859,IVR,NA,NA
Abacus Data,32,NA,5,23,NA,2013-10-22,32,7,1459,online,NA,NA
Ipsos Reid,33,NA,6,27,NA,2013-10-20,31,2,1042,online,NA,NA
Nanos Research,37,NA,5,23,NA,2013-10-18,29,5,1000,telephone,NA,NA
EKOS,36.3,NA,5,24.9,NA,2013-10-14,26.1,6.5,1554,telephone/online,NA,NA
Ipsos Reid,31,NA,7,26,NA,2013-09-20,32,3,1035,online,NA,NA
Forum Research,36,NA,7,21,NA,2013-09-17,31,4,1527,IVR,NA,NA
Harris-Decima,33,NA,6,24,NA,2013-09-09,29,6,2020,telephone,NA,NA
Abacus Data,29,NA,8,27,NA,2013-09-04,30,4,1600,online,NA,NA
Nanos Research,33,NA,5,25,NA,2013-08-31,30,5,1000,telephone,NA,NA
Forum Research,38,NA,6,22,NA,2013-08-23,29,4,1189,IVR,NA,NA
Nanos Research,35.7,NA,3.9,24.8,NA,2013-08-22,29.7,5.5,1000,telephone/online,NA,NA
Nanos Research,35.3,NA,2.5,22.8,NA,2013-08-19,31.9,5.9,2000,telephone,NA,NA
Forum Research,35,NA,7,22,NA,2013-07-23,31,4,1782,IVR,NA,NA
EKOS,30.4,NA,6.3,23.4,NA,2013-07-09,28.4,8.5,2900,IVR,NA,NA
Environics,34,NA,6,24,NA,2013-06-30,28,6,2149,telephone,NA,NA
Ipsos Reid,33,NA,6,28,NA,2013-06-25,30,4,1177,online,NA,NA
Abacus Data,29,NA,6,26,NA,2013-06-23,27,10,999,online,NA,NA
Leger Marketing,37,NA,4,21,NA,2013-06-19,29,8,1503,online,NA,NA
Nanos Research,34.2,NA,3.7,25.3,NA,2013-06-19,29.4,6.4,1000,telephone/online,NA,NA
Forum Research,38,NA,6,20,NA,2013-06-18,30,4,1525,IVR,NA,NA
Ipsos Reid,36,NA,4,27,NA,2013-05-28,30,4,1009,online,NA,NA
EKOS,34.7,NA,5.4,20.9,NA,2013-05-26,26.3,9.2,3318,IVR,NA,NA
Forum Research,44,NA,4,20,NA,2013-05-22,27,3,1779,IVR,NA,NA
EKOS,38.6,NA,4.2,23.9,NA,2013-05-02,26.2,6.3,1309,telephone/online,NA,NA
Ipsos Reid,35,NA,5,25,NA,2013-04-30,32,3,1059,online,NA,NA
Harris-Decima,35,NA,6,22,NA,2013-04-28,28,7,2008,telephone,NA,NA
Forum Research,43,NA,5,19,NA,2013-04-15,30,2,1764,IVR,NA,NA
EKOS,29.1,NA,6.4,23.3,NA,2013-04-10,28.8,9,4568,IVR,NA,NA
Nanos Research,35.4,NA,4.8,23.6,NA,2013-04-08,31.3,4.2,1002,telephone/online,NA,NA
Abacus Data,27,NA,5,27,NA,2013-04-06,33,7,1511,online,NA,NA
Ipsos Reid,32,NA,6,27,NA,2013-04-03,31,4,1053,NA,NA,NA
Forum Research,33,NA,5,25,NA,2013-04-02,29,6,1310,IVR,NA,NA
Leger Marketing,30,NA,7,24,NA,2013-03-28,31,7,1511,online,NA,NA
Abacus Data,24,NA,5,31,NA,2013-03-21,32,8,1014,online,NA,NA
Forum Research,30,NA,6,27,NA,2013-03-07,31,5,1755,IVR,NA,NA
Nanos Research,29.1,NA,5.2,27.2,NA,2013-02-24,31.5,5.9,1000,telephone,NA,NA
EKOS,24.6,NA,7.2,26.3,NA,2013-02-10,29.3,9.5,5947,IVR,NA,NA
Forum Research,30,NA,6,26,NA,2013-02-06,32,4,1091,IVR,NA,NA
Abacus Data,21,NA,6,31,NA,2013-02-06,35,6,1832,online,NA,NA
Nanos Research,27.6,NA,4.6,27.1,NA,2013-01-31,34.3,4.7,1000,telephone,NA,NA
Forum Research,25,NA,7,28,NA,2013-01-17,36,4,1626,IVR,NA,NA
Angus Reid,22,NA,6,29,NA,2013-01-17,35,6,2028,online,NA,NA
Angus Reid,19,NA,6,33,NA,2013-01-03,35,6,1012,online,NA,NA
Forum Research,27,NA,6,28,NA,2012-12-18,31,6,1355,IVR,NA,NA
Abacus Data,22,NA,6,32,NA,2012-12-08,34,6,1505,online,NA,NA
Leger Marketing,18,NA,7,30,NA,2012-12-06,35,9,1500,online,NA,NA
EKOS,24.4,NA,6.7,25.8,NA,2012-12-03,31.9,8.4,5433,IVR,NA,NA
Forum Research,28,NA,6,28,NA,2012-11-19,33,4,1849,IVR,NA,NA
Nanos Research,29,NA,4.9,27.2,NA,2012-11-15,33.8,3.7,1004,telephone,NA,NA
Abacus Data,22,NA,7,29,NA,2012-11-11,36,6,1068,online,NA,NA
Ipsos Reid,26,NA,7,30,NA,2012-11-08,34,2,2009,telephone/online,NA,NA
Forum Research,27,NA,6,32,NA,2012-10-27,31,4,1735,IVR,NA,NA
Nanos Research,30.1,NA,4.7,27.9,NA,2012-10-11,33.3,2.9,1000,telephone,NA,NA
Forum Research,25,NA,6,30,NA,2012-09-26,35,3,1707,IVR,NA,NA
Environics,20,NA,9,35,NA,2012-09-23,31,5,2000,telephone,NA,NA
Abacus Data,17,NA,7,35,NA,2012-09-18,35,6,1208,online,NA,NA
Harris-Decima,24,NA,6,27,NA,2012-09-10,34,7,2007,telephone,NA,NA
Nanos Research,24.6,NA,5.8,30.4,NA,2012-09-09,32.4,5,1000,telephone,NA,NA
Forum Research,22,NA,6,34,NA,2012-08-22,34,4,1720,IVR,NA,NA
Abacus Data,20,NA,6,32,NA,2012-08-12,37,6,2099,online,NA,NA
Forum Research,22,NA,6,35,NA,2012-07-26,31,5,1639,IVR,NA,NA
Nanos Research,26.5,NA,4.4,30.3,NA,2012-07-12,33.6,4.2,1200,telephone,NA,NA
EKOS,19.5,NA,4.9,32.3,NA,2012-07-05,30.2,10,2098,IVR,NA,NA
Forum Research,19,NA,6,35,NA,2012-06-27,35,3,1165,IVR,NA,NA
EKOS,19.2,NA,6.5,32.4,NA,2012-06-26,29.3,9.5,2049,IVR,NA,NA
Abacus Data,20,NA,5,35,NA,2012-06-23,35,6,1008,online,NA,NA
Environics,19,NA,7,35,NA,2012-06-23,33,5,2093,telephone,NA,NA
Ipsos Reid,18,NA,6,38,NA,2012-06-21,35,4,1099,online,NA,NA
Harris-Decima,23,NA,5,32,NA,2012-06-18,31,7,2000,telephone,NA,NA
Angus Reid,19,NA,6,35,NA,2012-06-16,34,5,1500,online,NA,NA
Forum Research,22,NA,6,37,NA,2012-06-14,30,5,1529,IVR,NA,NA
Nanos Research,24.9,NA,3.4,33.6,NA,2012-05-31,33.5,2.4,1201,telephone,NA,NA
Forum Research,20,NA,5,36,NA,2012-05-23,32,6,1836,IVR,NA,NA
Angus Reid,18,NA,7,33,NA,2012-05-23,37,4,1014,online,NA,NA
Abacus Data,17,NA,6,35,NA,2012-05-16,37,5,1008,online,NA,NA
Ipsos Reid,19,NA,5,35,NA,2012-05-10,37,3,2061,telephone/online,NA,NA
Environics,19,NA,6,36,NA,2012-05-09,32,7,1000,telephone,NA,NA
Harris-Decima,20,NA,7,34,NA,2012-05-06,30,8,2018,telephone,NA,NA
Harris-Decima,20,NA,7,33,NA,2012-04-30,30,8,1006,telephone,NA,NA
Forum Research,22,NA,6,36,NA,2012-04-25,33,2,1744,IVR,NA,NA
Nanos Research,23.3,NA,3.9,32.4,NA,2012-04-18,34.7,4.2,1200,telephone,NA,NA
Ipsos Reid,21,NA,7,33,NA,2012-04-05,34,4,1008,telephone,NA,NA
Leger Marketing,19,NA,7,33,NA,2012-04-04,32,8,1506,online,NA,NA
Harris-Decima,19,NA,6,32,NA,2012-04-02,34,8,2003,telephone,NA,NA
Forum Research,19,NA,5,34,NA,2012-03-30,36,5,1675,IVR,NA,NA
Forum Research,19,NA,7,35,NA,2012-03-27,35,3,1638,IVR,NA,NA
Angus Reid,21,NA,8,29,NA,2012-03-21,37,4,1004,online,NA,NA
Innovative Research,24,NA,6,25,NA,2012-03-21,37,7,1193,online,NA,NA
Harris-Decima,24,NA,8,28,NA,2012-03-19,31,7,2005,telephone,NA,NA
Environics,20,NA,8,30,NA,2012-03-18,30,7,2000,telephone,NA,NA
Abacus Data,20,NA,8,28,NA,2012-03-13,37,7,1003,online,NA,NA
EKOS,19.6,NA,5.8,29.7,NA,2012-03-11,35.4,8.1,2011,telephone/online,NA,NA
Ipsos Reid,23,NA,7,29,NA,2012-03-08,37,4,3154,telephone/online,NA,NA
Leger Marketing,24,NA,8,26,NA,2012-03-05,34,7,2509,online,NA,NA
Forum Research,25,NA,5,28,NA,2012-03-03,37,4,1675,IVR,NA,NA
Nanos Research,29.5,NA,4.9,25,NA,2012-02-29,35.7,3.4,1203,telephone,NA,NA
EKOS,21.7,NA,6,29.2,NA,2012-02-28,31.5,8.3,3699,IVR,NA,NA
Forum Research,26,NA,6,28,NA,2012-02-06,36,3,1210,IVR,NA,NA
Nanos Research,27.6,NA,5.6,25.2,NA,2012-01-23,35.7,4.5,1201,telephone,NA,NA
Harris-Decima,25,NA,5,29,NA,2012-01-22,32,7,2000,telephone,NA,NA
Angus Reid,22,NA,6,28,NA,2012-01-21,39,5,1000,online,NA,NA
Abacus Data,21,NA,6,28,NA,2012-01-19,37,7,1000,online,NA,NA
Forum Research,25,NA,6,28,NA,2012-01-13,35,4,1211,IVR,NA,NA
EKOS,24.8,NA,6.7,29.5,NA,2011-12-21,31.4,6.1,2005,telephone/online,NA,NA
Nanos Research,25.6,NA,4.4,28.7,NA,2011-12-18,36.5,3.8,1201,telephone,NA,NA
Forum Research,21,NA,6,27,NA,2011-12-13,33,8,1160,IVR,NA,NA
Harris-Decima,22,NA,6,28,NA,2011-12-12,34,7,2005,telephone,NA,NA
Abacus Data,18,NA,6,31,NA,2011-12-04,40,5,1004,online,NA,NA
Nanos Research,28.1,NA,3.9,27.3,NA,2011-11-21,35.6,3.9,1202,telephone,NA,NA
Ipsos Reid,21,NA,6,31,NA,2011-11-09,37,3,NA,NA,NA,NA
Harris-Decima,22,NA,5,29,NA,2011-11-06,36,7,2000,telephone,NA,NA
Nanos Research,23.4,NA,3.6,30,NA,2011-10-24,37.7,3.8,1202,telephone,NA,NA
Nanos Research,24.5,NA,3.5,29,NA,2011-10-02,39,2.9,1209,telephone,NA,NA
Angus Reid,21,NA,5,29,NA,2011-09-21,39,4,1668,online,NA,NA
Leger Marketing,17,NA,5,33,NA,2011-09-15,39,6,1625,online,NA,NA
Nanos Research,20.7,NA,2.6,33.1,NA,2011-09-01,39.5,3.4,1210,telephone,NA,NA
Harris-Decima,21,NA,6,33,NA,2011-08-29,33,7,2026,telephone,NA,NA
Abacus Data,19,NA,5,32,NA,2011-08-15,38,6,1003,online,NA,NA
Angus Reid,19,NA,6,31,NA,2011-08-09,39,4,1005,online,NA,NA
Nanos Research,27,NA,4.4,26.8,NA,2011-08-02,36.2,4.5,1203,telephone,NA,NA
Abacus Data,17,NA,6,32,NA,2011-06-24,41,5,1005,online,NA,NA
Nanos Research,22.3,NA,3.4,28,NA,2011-06-19,41.8,3.7,1211,telephone,NA,NA
Nanos Research,21.5,NA,2.7,29.9,NA,2011-05-29,39.7,4.8,1205,telephone,NA,NA
Harris-Decima,15,NA,5,33,NA,2011-05-22,38,7,2000,telephone,NA,NA
Abacus Data,16,NA,6,33,NA,2011-05-19,40,5,1544,online,NA,NA
Nanos Research,39.1,NA,5.5,19.7,NA,2015-10-18,30.5,4.6,800,telephone,NA,NA
Forum Research,40,NA,6,20,NA,2015-10-18,30,3,1373,IVR,NA,NA
EKOS,35.8,NA,4.9,20.4,NA,2015-10-18,31.9,5.6,2122,IVR/telephone – rolling (1/3),NA,NA
EKOS,34.3,NA,5.4,21,NA,2015-10-17,32.6,5.4,1621,IVR/telephone – rolling (1/2),NA,NA
Ipsos Reid,38,NA,4,22,NA,2015-10-17,31,4,2503,online/telephone,NA,NA
Nanos Research,37.3,NA,4.6,22.1,NA,2015-10-17,30.5,4.7,2000,telephone – rolling (2/5),NA,NA
EKOS,33.7,NA,4.7,21.9,NA,2015-10-16,33.3,4.1,1537,IVR/telephone – rolling (1/2),NA,NA
Nanos Research,37,NA,4.4,22.6,NA,2015-10-16,30.7,4.7,1600,telephone – rolling (1/2),NA,NA
Léger Marketing,38,NA,6,22,NA,2015-10-16,30,4,2086,online,NA,NA
Angus Reid,35,NA,5,22,NA,2015-10-16,31,5,2022,online,NA,NA
Mainstreet Research,38,NA,4,21,NA,2015-10-15,33,5,5546,IVR,NA,NA
EKOS,34,NA,3.4,22.7,NA,2015-10-15,32.8,5.1,1813,IVR/telephone – rolling (1/3),NA,NA
Nanos Research,36.5,NA,4.3,23.5,NA,2015-10-15,30.6,4.7,1200,telephone – rolling (1/3),NA,NA
Forum Research,37,NA,6,24,NA,2015-10-14,31,2,1438,IVR,NA,NA
EKOS,33.5,NA,3.4,22.9,NA,2015-10-14,32.6,5.6,1438,IVR/telephone – rolling (1/3),NA,NA
Nanos Research,37.1,NA,5,23.7,NA,2015-10-14,29.4,4.3,1200,telephone – rolling (1/3),NA,NA
EKOS,34.1,NA,3.8,24.1,NA,2015-10-13,29.9,6.4,1179,IVR/telephone – rolling (1/3),NA,NA
Nanos Research,36.1,NA,5.2,24.5,NA,2015-10-13,29.2,4.3,1200,telephone – rolling (1/3),NA,NA
Ipsos Reid,37,NA,5,24,NA,2015-10-13,31,2,1349,online,NA,NA
EKOS,35.6,NA,3.2,20.6,NA,2015-10-12,31.1,7.5,1115,IVR/telephone – rolling (2/3),NA,NA
Nanos Research,35.7,NA,5.7,24.3,NA,2015-10-11,28.9,4.8,1200,telephone – rolling (1/3),NA,NA
Innovative Research,38,NA,3,22,NA,2015-10-11,30,6,1143,telephone,NA,NA
EKOS,33.1,NA,3.3,19,NA,2015-10-10,35.5,7.4,1428,IVR/telephone – rolling (2/3),NA,NA
Nanos Research,35.1,NA,5.2,25,NA,2015-10-10,29,5.1,1200,telephone – rolling (1/3),NA,NA
Forum Research,37,NA,5,23,NA,2015-10-09,31,3,1427,IVR,NA,NA
Nanos Research,34.8,NA,5.5,24.9,NA,2015-10-09,28.6,5.4,1200,telephone – rolling (1/3),NA,NA
Angus Reid,31,NA,6,25,NA,2015-10-09,33,3,1083,online,NA,NA
EKOS,33.8,NA,3.5,20.4,NA,2015-10-08,33.7,7.2,1618,IVR/telephone – rolling (1/3),NA,NA
Nanos Research,34,NA,5.3,25,NA,2015-10-08,31,4.2,1200,telephone – rolling (1/3),NA,NA
Innovative Research,35,NA,5,24,NA,2015-10-08,30,5,3417,online,NA,NA
Mainstreet Research,35,NA,4,20,NA,2015-10-07,36,5,5630,IVR,NA,NA
Léger Marketing,34,NA,6,25,NA,2015-10-07,30,4,2087,online,NA,NA
EKOS,34.1,NA,3.6,21.1,NA,2015-10-07,32.5,7.3,1753,IVR/telephone – rolling (1/3),NA,NA
Nanos Research,33.5,NA,5.6,24.2,NA,2015-10-07,31.6,4.6,1200,telephone – rolling (1/3),NA,NA
Forum Research,35,NA,4,26,NA,2015-10-06,31,3,1447,IVR,NA,NA
Abacus Data,32,NA,4,24,NA,2015-10-06,33,5,2000,online,NA,NA
EKOS,32.3,NA,4,21.4,NA,2015-10-06,34.1,6.9,1788,IVR/telephone – rolling (1/3),NA,NA
Nanos Research,34.3,NA,5.1,23,NA,2015-10-06,32.1,4.6,1200,telephone – rolling (1/3),NA,NA
EKOS,30.9,NA,4,22.2,NA,2015-10-05,35.1,6.6,1658,IVR/telephone – rolling,NA,NA
Nanos Research,35,NA,4.9,23.1,NA,2015-10-05,31.5,4.6,1200,telephone – rolling (1/3),NA,NA
Ipsos Reid,32,NA,5,26,NA,2015-10-05,33,3,1441,online,NA,NA
Nanos Research,35.6,NA,4.8,22.8,NA,2015-10-04,31,4.7,1200,telephone – rolling (1/3),NA,NA
Nanos Research,35.3,NA,4.3,24.3,NA,2015-10-03,31,4.5,1200,telephone – rolling (1/3),NA,NA
Nanos Research,34.6,NA,4.5,25.1,NA,2015-10-02,30.5,4.8,1200,telephone – rolling (1/3),NA,NA
Mainstreet Research,29,NA,4,24,NA,2015-10-01,37,7,5197,IVR,NA,NA
Innovative Research,31,NA,5,29,NA,2015-10-01,29,6,1562,online,NA,NA
Nanos Research,33.5,NA,4.3,25.9,NA,2015-10-01,31.9,3.9,1200,telephone – rolling (1/3),NA,NA
Léger Marketing,32,NA,6,26,NA,2015-09-30,30,6,2107,online,NA,NA
Angus Reid,27,NA,6,27,NA,2015-09-30,34,5,2021,online,NA,NA
Nanos Research,31.7,NA,4.8,26.1,NA,2015-09-30,32.8,4.1,1200,telephone – rolling (1/3),NA,NA
Forum Research,27,NA,5,28,NA,2015-09-29,34,5,1499,IVR,NA,NA
Nanos Research,32.2,NA,4.6,26.3,NA,2015-09-29,32.1,4.4,1200,telephone – rolling (1/3),NA,NA
EKOS,26.7,NA,5.3,25.6,NA,2015-09-29,33.4,7.8,2609,IVR,NA,NA
Nanos Research,31.4,NA,4.4,27,NA,2015-09-28,32.6,4,1200,telephone – rolling (1/3),NA,NA
Ipsos Reid,33,NA,4,27,NA,2015-09-28,32,4,1354,online,NA,NA
Nanos Research,31.6,NA,4.2,26.9,NA,2015-09-27,33,3.6,1200,telephone – rolling (1/3),NA,NA
Abacus Data,29,NA,5,27,NA,2015-09-27,32,5,3814,online,NA,NA
Nanos Research,32.5,NA,4,27.6,NA,2015-09-26,31.5,3.7,1200,telephone – rolling (1/3),NA,NA
Nanos Research,31.8,NA,3.1,30.3,NA,2015-09-25,29.6,4.5,1200,telephone – rolling (1/3),NA,NA
Nanos Research,32.3,NA,2.5,31.1,NA,2015-09-24,28.9,4.2,1200,telephone – rolling (1/3),NA,NA
Innovative Research,28,NA,3,29,NA,2015-09-24,31,8,2805,online,NA,NA
Forum Research,31,NA,4,28,NA,2015-09-23,31,4,1557,IVR,NA,NA
Nanos Research,31.5,NA,2.3,30.8,NA,2015-09-23,30.5,3.7,1200,telephone – rolling (1/3),NA,NA
Léger Marketing,31,NA,5,29,NA,2015-09-23,31,5,2115,online,NA,NA
Innovative Research,30,NA,3,27,NA,2015-09-23,32,7,1784,telephone,NA,NA
Nanos Research,31.6,NA,2.6,29.1,NA,2015-09-22,31.5,4.2,1200,telephone – rolling (1/3),NA,NA
EKOS,26.3,NA,4.2,24.5,NA,2015-09-22,35.4,7.7,2343,IVR,NA,NA
Nanos Research,30.3,NA,3.4,29.4,NA,2015-09-21,31.3,4.6,1200,telephone – rolling (1/3),NA,NA
Ipsos Reid,33,NA,5,30,NA,2015-09-21,27,4,1103,online,NA,NA
Nanos Research,29.4,NA,3.8,29.1,NA,2015-09-20,31,5.5,1200,telephone – rolling (1/3),NA,NA
Nanos Research,30.3,NA,3.7,29.1,NA,2015-09-19,30.8,5.1,1200,telephone – rolling (1/3),NA,NA
Forum Research,29,NA,4,29,NA,2015-09-18,33,4,922,IVR,NA,NA
Nanos Research,30.8,NA,3,28.9,NA,2015-09-18,30.4,6,1200,telephone – rolling (1/3),NA,NA
Nanos Research,31,NA,2.3,31.3,NA,2015-09-17,29.1,5.8,1200,telephone – rolling (1/3),NA,NA
Nanos Research,30.9,NA,2.5,30.4,NA,2015-09-16,30.1,5.8,1200,telephone – rolling (1/3),NA,NA
Forum Research,28,NA,4,30,NA,2015-09-15,32,6,1402,IVR,NA,NA
Nanos Research,30.1,NA,2.8,31.6,NA,2015-09-15,29,5.3,1200,telephone – rolling (1/3),NA,NA
Environics,29,NA,4,34,NA,2015-09-15,26,8,1001,telephone,NA,NA
EKOS,27.4,NA,3.7,29.9,NA,2015-09-15,29.6,7.6,2704,IVR,NA,NA
Nanos Research,29.6,NA,2.9,30.4,NA,2015-09-14,31,4.8,1200,telephone – rolling (1/3),NA,NA
Ipsos Reid,31,NA,4,32,NA,2015-09-13,29,4,980,online,NA,NA
Nanos Research,30.3,NA,2.6,31.3,NA,2015-09-13,30.2,4.3,1200,telephone – rolling (1/3),NA,NA
Nanos Research,30.5,NA,2.5,30.8,NA,2015-09-12,31.7,4.1,1200,telephone – rolling (1/3),NA,NA
Abacus Data,29,NA,4,31,NA,2015-09-11,29,6,1500,online,NA,NA
Nanos Research,31.7,NA,2.8,30.1,NA,2015-09-11,30.9,4,1200,telephone – rolling (1/3),NA,NA
Forum Research,29,NA,3,36,NA,2015-09-10,28,3,1308,IVR,NA,NA
Nanos Research,30.9,NA,3.2,29.9,NA,2015-09-10,30.8,4.6,1200,telephone – rolling (1/3),NA,NA
Innovative Research,30,NA,4,31,NA,2015-09-10,28,6,2121,online,NA,NA
Nanos Research,32.1,NA,3.6,30.6,NA,2015-09-09,28.6,4.8,1200,telephone – rolling (1/3),NA,NA
Nanos Research,32.5,NA,3.7,31.2,NA,2015-09-08,25.9,6.1,1200,telephone – rolling (1/3),NA,NA
Ipsos Reid,30,NA,3,34,NA,2015-09-08,29,3,949,online,NA,NA
EKOS,26.9,NA,4.6,29.6,NA,2015-09-08,31.8,5.9,2677,IVR,NA,NA
Nanos Research,30.8,NA,3.7,32.7,NA,2015-09-06,26.2,6,1200,telephone – rolling,NA,NA
Léger Marketing,30,NA,4,31,NA,2015-09-02,28,5,2119,online,NA,NA
Forum Research,32,NA,4,36,NA,2015-09-01,24,4,1384,IVR,NA,NA
EKOS,27.7,NA,4.2,30.2,NA,2015-09-01,29.5,6.4,3243,IVR,NA,NA
Abacus Data,28,NA,3,31,NA,2015-08-28,30,7,1500,online,NA,NA
Nanos Research,29.7,NA,4.2,30.8,NA,2015-08-28,28.8,5.4,1000,telephone – rolling (1/4),NA,NA
Innovative Research,27,NA,4,32,NA,2015-08-26,30,6,3274,online,NA,NA
Ipsos Reid,30,NA,4,33,NA,2015-08-26,29,4,1000,online,NA,NA
EKOS,26.7,NA,4.1,33.6,NA,2015-08-25,28.1,5.8,3524,IVR,NA,NA
Forum Research,30,NA,3,40,NA,2015-08-24,23,3,1440,IVR,NA,NA
Angus Reid,23,NA,4,36,NA,2015-08-24,32,4,6226,online,NA,NA
Nanos Research,29.9,NA,4.7,29.1,NA,2015-08-21,30.1,5.2,1000,telephone – rolling (1/4),NA,NA
Forum Research,28,NA,4,34,NA,2015-08-19,29,4,1473,IVR,NA,NA
Abacus Data,26,NA,3,35,NA,2015-08-17,29,6,1439,online,NA,NA
Nanos Research,28.7,NA,4.5,29,NA,2015-08-14,31.8,5.3,1000,telephone – rolling (1/4),NA,NA
Léger Marketing,28,NA,5,33,NA,2015-08-12,27,6,2095,online,NA,NA
Mainstreet Research,29,NA,4,30,NA,2015-08-11,31,6,5401,IVR,NA,NA
Forum Research,27,NA,6,34,NA,2015-08-11,28,4,1392,IVR,NA,NA
EKOS,24.2,NA,4.2,31.8,NA,2015-08-11,30.4,7.3,3055,IVR,NA,NA
Ipsos Reid,27.8,NA,3.9,33,NA,2015-08-10,30.8,4,2022,telephone/online,NA,NA
Nanos Research,28.6,NA,4.2,30.4,NA,2015-08-07,31.2,5,1000,telephone – rolling (1/4),NA,NA
Forum Research,25,NA,5,39,NA,2015-08-02,28,3,1399,IVR,NA,NA
Abacus Data,33,NA,4,15,NA,2019-09-10,35,10,2000,online,NA,3
